Date,AdvanceDeclineLine
2022-01-03,0
2022-01-04,148
2022-01-05,-156
2022-01-06,-97
2022-01-07,-143
2022-01-10,-262
2022-01-11,-8
2022-01-12,88
2022-01-13,14
2022-01-14,-61
2022-01-18,-439
2022-01-19,-701
2022-01-20,-1018
2022-01-21,-1328
2022-01-24,-1198
2022-01-25,-1465
2022-01-26,-1667
2022-01-27,-1791
2022-01-28,-1408
2022-01-31,-1055
2022-02-01,-878
2022-02-02,-634
2022-02-03,-952
2022-02-04,-1024
2022-02-07,-1011
2022-02-08,-758
2022-02-09,-414
2022-02-10,-787
2022-02-11,-1088
2022-02-14,-1365
2022-02-15,-1072
2022-02-16,-976
2022-02-17,-1329
2022-02-18,-1477
2022-02-22,-1743
2022-02-23,-2117
2022-02-24,-1973
2022-02-25,-1518
2022-02-28,-1717
2022-03-01,-2015
2022-03-02,-1584
2022-03-03,-1593
2022-03-04,-1686
2022-03-07,-2045
2022-03-08,-2160
2022-03-09,-1815
2022-03-10,-1929
2022-03-11,-2231
2022-03-14,-2302
2022-03-15,-1914
2022-03-16,-1591
2022-03-17,-1246
2022-03-18,-1041
2022-03-21,-1153
2022-03-22,-951
2022-03-23,-1260
2022-03-24,-871
2022-03-25,-626
2022-03-28,-502
2022-03-29,-143
2022-03-30,-272
2022-03-31,-624
2022-04-01,-441
2022-04-04,-432
2022-04-05,-634
2022-04-06,-691
2022-04-07,-632
2022-04-08,-608
2022-04-11,-899
2022-04-12,-988
2022-04-13,-684
2022-04-14,-841
2022-04-18,-956
2022-04-19,-569
2022-04-20,-316
2022-04-21,-642
2022-04-22,-1115
2022-04-25,-1027
2022-04-26,-1464
2022-04-27,-1425
2022-04-28,-1050
2022-04-29,-1521
2022-05-02,-1480
2022-05-03,-1269
2022-05-04,-820
2022-05-05,-1288
2022-05-06,-1481
2022-05-09,-1836
2022-05-10,-1899
2022-05-11,-2139
2022-05-12,-2049
2022-05-13,-1624
2022-05-16,-1739
2022-05-17,-1342
2022-05-18,-1823
2022-05-19,-1862
2022-05-20,-1774
2022-05-23,-1429
2022-05-24,-1506
2022-05-25,-1257
2022-05-26,-870
2022-05-27,-416
2022-05-31,-709
2022-06-01,-1000
2022-06-02,-628
2022-06-03,-991
2022-06-06,-863
2022-06-07,-515
2022-06-08,-901
2022-06-09,-1354
2022-06-10,-1780
2022-06-13,-2269
2022-06-14,-2420
2022-06-15,-2133
2022-06-16,-2602
2022-06-17,-2520
2022-06-21,-2139
2022-06-22,-2136
2022-06-23,-1966
2022-06-24,-1505
2022-06-27,-1524
2022-06-28,-1888
2022-06-29,-1972
2022-06-30,-2143
2022-07-01,-1793
2022-07-05,-1862
2022-07-06,-1810
2022-07-07,-1514
2022-07-08,-1677
2022-07-11,-1901
2022-07-12,-2068
2022-07-13,-2240
2022-07-14,-2438
2022-07-15,-2009
2022-07-18,-2187
2022-07-19,-1708
2022-07-20,-1534
2022-07-21,-1294
2022-07-22,-1425
2022-07-25,-1334
2022-07-26,-1463
2022-07-27,-1108
2022-07-28,-783
2022-07-29,-492
2022-08-01,-539
2022-08-02,-789
2022-08-03,-503
2022-08-04,-524
2022-08-05,-458
2022-08-08,-325
2022-08-09,-376
2022-08-10,51
2022-08-11,137
2022-08-12,583
2022-08-15,685
2022-08-16,812
2022-08-17,538
2022-08-18,678
2022-08-19,340
2022-08-22,-110
2022-08-23,-227
2022-08-24,-12
2022-08-25,413
2022-08-26,-64
2022-08-29,-291
2022-08-30,-668
2022-08-31,-975
2022-09-01,-897
2022-09-02,-1219
2022-09-06,-1331
2022-09-07,-885
2022-09-08,-625
2022-09-09,-228
2022-09-12,116
2022-09-13,-371
2022-09-14,-397
2022-09-15,-619
2022-09-16,-836
2022-09-19,-569
2022-09-20,-997
2022-09-21,-1432
2022-09-22,-1753
2022-09-23,-2124
2022-09-26,-2524
2022-09-27,-2618
2022-09-28,-2148
2022-09-29,-2563
2022-09-30,-2886
2022-10-03,-2412
2022-10-04,-1927
2022-10-05,-2059
2022-10-06,-2366
2022-10-07,-2811
2022-10-10,-2929
2022-10-11,-3026
2022-10-12,-3217
2022-10-13,-2797
2022-10-14,-3240
2022-10-17,-2787
2022-10-18,-2390
2022-10-19,-2653
2022-10-20,-2919
2022-10-21,-2470
2022-10-24,-2157
2022-10-25,-1769
2022-10-26,-1700
2022-10-27,-1631
2022-10-28,-1226
2022-10-31,-1404
2022-11-01,-1335
2022-11-02,-1764
2022-11-03,-1852
2022-11-04,-1563
2022-11-07,-1332
2022-11-08,-1121
2022-11-09,-1542
2022-11-10,-1079
2022-11-11,-965
2022-11-14,-1241
2022-11-15,-967
2022-11-16,-1149
2022-11-17,-1304
2022-11-18,-1028
2022-11-21,-995
2022-11-22,-606
2022-11-23,-388
2022-11-25,-187
2022-11-28,-608
2022-11-29,-560
2022-11-30,-104
2022-12-01,-81
2022-12-02,-92
2022-12-05,-543
2022-12-06,-828
2022-12-07,-875
2022-12-08,-652
2022-12-09,-932
2022-12-12,-505
2022-12-13,-303
2022-12-14,-517
2022-12-15,-948
2022-12-16,-1280
2022-12-19,-1561
2022-12-20,-1512
2022-12-21,-1087
2022-12-22,-1415
2022-12-23,-1091
2022-12-27,-987
2022-12-28,-1434
2022-12-29,-990
2022-12-30,-1229
2023-01-03,-1210
2023-01-04,-885
2023-01-05,-1155
2023-01-06,-705
2023-01-09,-679
2023-01-10,-450
2023-01-11,-147
2023-01-12,-79
2023-01-13,51
2023-01-17,-66
2023-01-18,-460
2023-01-19,-732
2023-01-20,-314
2023-01-23,-31
2023-01-24,-53
2023-01-25,19
2023-01-26,248
2023-01-27,266
2023-01-30,-26
2023-01-31,405
2023-02-01,637
2023-02-02,790
2023-02-03,524
2023-02-06,345
2023-02-07,547
2023-02-08,264
2023-02-09,3
2023-02-10,146
2023-02-13,542
2023-02-14,395
2023-02-15,577
2023-02-16,234
2023-02-17,247
2023-02-21,-177
2023-02-22,-265
2023-02-23,-140
2023-02-24,-416
2023-02-27,-386
2023-02-28,-486
2023-03-01,-620
2023-03-02,-352
2023-03-03,37
2023-03-06,-92
2023-03-07,-524
2023-03-08,-444
2023-03-09,-896
2023-03-10,-1314
2023-03-13,-1392
2023-03-14,-1020
2023-03-15,-1241
2023-03-16,-892
2023-03-17,-1304
2023-03-20,-921
2023-03-21,-639
2023-03-22,-1114
2023-03-23,-1227
2023-03-24,-987
2023-03-27,-751
2023-03-28,-643
2023-03-29,-222
2023-03-30,3
2023-03-31,444
2023-04-03,420
2023-04-04,157
2023-04-05,107
2023-04-06,136
2023-04-10,327
2023-04-11,572
2023-04-12,439
2023-04-13,719
2023-04-14,566
2023-04-17,820
2023-04-18,842
2023-04-19,836
2023-04-20,680
2023-04-21,699
2023-04-24,810
2023-04-25,487
2023-04-26,191
2023-04-27,568
2023-04-28,880
2023-05-01,923
2023-05-02,615
2023-05-03,414
2023-05-04,214
2023-05-05,624
2023-05-08,575
2023-05-09,449
2023-05-10,480
2023-05-11,307
2023-05-12,317
2023-05-15,476
2023-05-16,102
2023-05-17,367
2023-05-18,562
2023-05-19,458
2023-05-22,521
2023-05-23,232
2023-05-24,-100
2023-05-25,-169
2023-05-26,29
2023-05-30,-55
2023-05-31,-193
2023-06-01,54
2023-06-02,472
2023-06-05,371
2023-06-06,520
2023-06-07,696
2023-06-08,728
2023-06-09,683
2023-06-12,852
2023-06-13,1155
2023-06-14,1105
2023-06-15,1486
2023-06-16,1416
2023-06-20,1116
2023-06-21,1133
2023-06-22,1000
2023-06-23,695
2023-06-26,871
2023-06-27,1191
2023-06-28,1110
2023-06-29,1392
2023-06-30,1768
2023-07-03,1891
2023-07-05,1734
2023-07-06,1407
2023-07-07,1395
2023-07-10,1630
2023-07-11,1955
2023-07-12,2106
2023-07-13,2313
2023-07-14,2167
2023-07-17,2231
2023-07-18,2375
2023-07-19,2516
2023-07-20,2577
2023-07-21,2677
2023-07-24,2754
2023-07-25,2847
2023-07-26,2874
2023-07-27,2610
2023-07-28,2781
2023-07-31,2889
2023-08-01,2761
2023-08-02,2525
2023-08-03,2452
2023-08-04,2269
2023-08-07,2589
2023-08-08,2385
2023-08-09,2304
2023-08-10,2272
2023-08-11,2327
2023-08-14,2309
2023-08-15,1890
2023-08-16,1611
2023-08-17,1365
2023-08-18,1471
2023-08-21,1424
2023-08-22,1312
2023-08-23,1608
2023-08-24,1296
2023-08-25,1549
2023-08-28,1886
2023-08-29,2267
2023-08-30,2434
2023-08-31,2298
2023-09-01,2471
2023-09-05,2157
2023-09-06,2078
2023-09-07,2016
2023-09-08,2062
2023-09-11,2183
2023-09-12,2105
2023-09-13,2016
2023-09-14,2376
2023-09-15,2059
2023-09-18,2043
2023-09-19,1942
2023-09-20,1790
2023-09-21,1369
2023-09-22,1242
2023-09-25,1342
2023-09-26,938
2023-09-27,914
2023-09-28,1163
2023-09-29,1031
2023-10-02,757
2023-10-03,475
2023-10-04,732
2023-10-05,661
2023-10-06,963
2023-10-09,1172
2023-10-10,1437
2023-10-11,1558
2023-10-12,1234
2023-10-13,1166
2023-10-16,1579
2023-10-17,1753
2023-10-18,1415
2023-10-19,1060
2023-10-20,696
2023-10-23,474
2023-10-24,676
2023-10-25,430
2023-10-26,403
2023-10-27,89
2023-10-30,395
2023-10-31,730
2023-11-01,859
2023-11-02,1249
2023-11-03,1578
2023-11-06,1401
2023-11-07,1328
2023-11-08,1292
2023-11-09,1044
2023-11-10,1418
2023-11-13,1322
2023-11-14,1750
2023-11-15,1844
2023-11-16,1806
2023-11-17,1963
2023-11-20,2155
2023-11-21,2128
2023-11-22,2409
2023-11-24,2669
2023-11-27,2524
2023-11-28,2477
2023-11-29,2548
2023-11-30,2854
2023-12-01,3217
2023-12-04,3224
2023-12-05,2920
2023-12-06,2965
2023-12-07,3113
2023-12-08,3224
2023-12-11,3511
2023-12-12,3624
2023-12-13,4027
2023-12-14,4172
2023-12-15,3939
2023-12-18,4021
2023-12-19,4312
2023-12-20,3850
2023-12-21,4265
2023-12-22,4507
2023-12-26,4838
2023-12-27,4939
2023-12-28,5108
2023-12-29,4908
2024-01-02,4916
2024-01-03,4632
2024-01-04,4634
2024-01-05,4696
2024-01-08,5030
2024-01-09,4829
2024-01-10,4894
2024-01-11,4835
2024-01-12,4865
2024-01-16,4653
2024-01-17,4364
2024-01-18,4534
2024-01-19,4781
2024-01-22,5002
2024-01-23,5039
2024-01-24,4826
2024-01-25,5115
2024-01-26,5156
2024-01-29,5389
2024-01-30,5441
2024-01-31,5104
2024-02-01,5409
2024-02-02,5367
2024-02-05,5047
2024-02-06,5244
2024-02-07,5382
2024-02-08,5422
2024-02-09,5545
2024-02-12,5695
2024-02-13,5309
2024-02-14,5587
2024-02-15,5914
2024-02-16,5753
2024-02-20,5644
2024-02-21,5796
2024-02-22,6039
2024-02-23,6221
2024-02-26,6050
2024-02-27,6172
2024-02-28,6190
2024-02-29,6330
2024-03-01,6442
2024-03-04,6541
2024-03-05,6396
2024-03-06,6631
2024-03-07,6869
2024-03-08,6861
2024-03-11,6935
2024-03-12,7028
2024-03-13,7064
2024-03-14,6788
2024-03-15,6749
2024-03-18,6865
2024-03-19,7131
2024-03-20,7388
2024-03-21,7641
2024-03-22,7389
2024-03-25,7264
2024-03-26,7208
2024-03-27,7606
2024-03-28,7831
2024-04-01,7603
2024-04-02,7307
2024-04-03,7362
2024-04-04,7006
2024-04-05,7242
2024-04-08,7310
2024-04-09,7463
2024-04-10,7109
2024-04-11,7074
2024-04-12,6659
2024-04-15,6314
2024-04-16,6127
2024-04-17,6034
2024-04-18,6052
2024-04-19,6212
2024-04-22,6541
2024-04-23,6825
2024-04-24,6879
2024-04-25,6754
2024-04-26,6783
2024-04-29,7008
2024-04-30,6624
2024-05-01,6604
2024-05-02,6820
2024-05-03,7078
2024-05-06,7347
2024-05-07,7498
2024-05-08,7495
2024-05-09,7823
2024-05-10,7931
2024-05-13,7863
2024-05-14,7992
2024-05-15,8213
2024-05-16,8170
2024-05-17,8258
2024-05-20,8192
2024-05-21,8199
2024-05-22,8057
2024-05-23,7667
2024-05-24,7884
2024-05-28,7654
2024-05-29,7268
2024-05-30,7492
2024-05-31,7829
2024-06-03,7673
2024-06-04,7635
2024-06-05,7785
2024-06-06,7690
2024-06-07,7569
2024-06-10,7641
2024-06-11,7509
2024-06-12,7604
2024-06-13,7470
2024-06-14,7242
2024-06-17,7463
2024-06-18,7597
2024-06-20,7670
2024-06-21,7758
2024-06-24,7967
2024-06-25,7700
2024-06-26,7547
2024-06-27,7619
2024-06-28,7662
2024-07-01,7414
2024-07-02,7596
2024-07-03,7593
2024-07-05,7568
2024-07-08,7625
2024-07-09,7523
2024-07-10,7834
2024-07-11,8123
2024-07-12,8429
2024-07-15,8492
2024-07-16,8879
2024-07-17,8876
2024-07-18,8609
2024-07-19,8384
2024-07-22,8670
2024-07-23,8545
2024-07-24,8370
2024-07-25,8449
2024-07-26,8827
2024-07-29,8874
2024-07-30,9049
2024-07-31,9121
2024-08-01,8963
2024-08-02,8724
2024-08-05,8265
2024-08-06,8555
2024-08-07,8345
2024-08-08,8756
2024-08-09,8847
2024-08-12,8668
2024-08-13,9023
2024-08-14,9136
2024-08-15,9466
2024-08-16,9622
2024-08-19,9956
2024-08-20,9796
2024-08-21,10102
2024-08-22,10026
2024-08-23,10390
2024-08-26,10425
2024-08-27,10410
2024-08-28,10343
2024-08-29,10518
2024-08-30,10889
2024-09-03,10682
2024-09-04,10662
2024-09-05,10410
2024-09-06,10078
2024-09-09,10416
2024-09-10,10449
2024-09-11,10422
2024-09-12,10670
2024-09-13,11020
2024-09-16,11290
2024-09-17,11326
2024-09-18,11250
2024-09-19,11453
